Time,Voltage 1,Temperature
9099.31638,1.647168,6.390341873
9101.089389,1.65357,6.406431069
9103.0685,1.695984286,6.413113186
9105.062243,1.659588,6.426672559
9106.819337,1.649115,6.436760942
9108.592968,1.643564,6.439789489
9110.351563,1.656251667,6.437808868
9112.112948,1.645868,6.450407896
9114.099065,1.642224286,6.463433392
9116.069789,1.639774,6.474729713
9117.841608,1.63995,6.476703811
9119.606537,1.608984,6.485475127
9121.366626,1.633696667,6.501829148
9123.125233,1.619413333,6.507629533
9124.880139,1.631284,6.517709788
9126.850989,1.636591429,6.526191641
9128.832823,1.609802,6.535046343
9130.598049,1.651968333,6.543561028
9132.361001,1.643005,6.545132374
9134.132912,1.680656,6.548760416
9135.902296,1.666055,6.553838518
9137.873496,1.653685714,6.557041124
9139.836997,1.646534,6.569391611
9141.609046,1.617228333,6.582970582
9143.380528,1.650672,6.591471608
9145.135974,1.644905,6.602935872
9146.923322,1.641272,6.611181106
9148.888901,1.644685714,6.622948889
9150.865952,1.636295,6.631745487
9152.617234,1.635988,6.641427032
9154.40118,1.622576667,6.648151613
9156.17222,1.637736,6.650654944
9157.916805,1.63873,6.665151052
9159.878867,1.630261429,6.670660723
9161.854305,1.620928,6.678337595
9163.599022,1.624778333,6.682813939
9165.363444,1.605054,6.697436655
9167.119224,1.608125,6.706989106
9168.86993,1.617338,6.713253002
9170.83868,1.615864286,6.723746211
9172.799761,1.627028333,6.729534832
9174.556662,1.61071,6.737043429
9176.30743,1.614636,6.744226307
9178.072489,1.619171667,6.751338821
9179.823055,1.618598333,6.759574917
9181.791801,1.741248333,6.762647063
9183.760555,1.693048333,6.773735506
9185.510555,1.648376,6.78685497
9187.260555,1.65738,6.786127241
9189.021296,1.676588333,6.791853758
9190.99493,1.657725,6.80992022
9192.971494,1.667043333,6.816757217
9194.762865,1.663815,6.819393628
9196.49493,1.661696,6.83006702
9198.24493,1.606605,6.834809929
9199.985482,1.735652,6.837976082
9201.982954,1.697794286,6.844488372
9203.964376,1.677486667,6.853576783
9205.725051,1.681224,6.866157862
9207.484652,1.664256,6.869585518
9209.221494,1.679355,6.870842914
9210.990578,1.702944,6.884744731
9212.955644,1.674528571,6.891604828
9214.945823,1.676823333,6.904498813
9216.708519,1.731604,6.914046846
9218.46368,1.714078333,6.925368929
9220.21368,1.720298,6.928534437
9221.971494,1.677928333,6.934731392
9223.948051,1.708343333,6.937491004
9225.918707,1.697425,6.949211998
9227.68243,1.703052,6.959684378
9229.43243,1.702823333,6.974502383
9231.18243,1.703284,6.987016233
9232.93243,1.687105,6.995113959
9234.90118,1.672758571,6.999662461
9236.86993,1.682956,6.999587157
9238.620073,1.671326667,7.026259291
9240.415069,1.639494,7.037980551
9242.135555,1.63995,7.047857545
9244.104308,1.665675714,7.058920985
9246.059074,1.695936,7.066755958
9247.83059,1.668595,7.077685004
9249.581143,1.664722,7.0821573
9251.330866,1.726303333,7.091178482
9253.08868,1.738572,7.091044482
9255.044256,1.649332857,7.095628993
9257.023764,1.657312,7.102043135
9258.801242,1.68883,7.106323833
9260.565246,1.68384,7.110202625
9262.31638,1.672256,7.116326931
9264.073055,1.666811667,7.127452531
9266.020986,1.654868571,7.133181091
9268.014781,1.668952,7.137786832
9269.767212,1.660505,7.143910761
9271.50118,1.675252,7.151342313
9273.266265,1.697993333,7.16142732
9275.224606,1.718621429,7.164045133
9277.196013,1.693004,7.177291113
9278.953073,1.703356,7.178796463
9280.716427,1.684331667,7.179912714
9282.484885,1.668251667,7.188274844
9284.254412,1.635888,7.194984949
9286.016135,1.637675,7.199928083
9288.002858,1.64904,7.207066607
9289.993108,1.657526667,7.206574214
9291.752743,1.644161667,7.214540438
9293.525698,1.685468,7.218093021
9295.276889,1.694582,7.230925361
9297.044789,1.708025,7.231327178
9299.018593,1.720684286,7.242236945
9300.997715,1.718398,7.247322419
9302.760635,1.7245,7.252577532
9304.530809,1.722296,7.253036723
9306.293934,1.723826667,7.264095186
9308.042301,1.713616,7.265287683
9310.015665,1.717555714,7.273348588
9311.996599,1.715053333,7.280420923
9313.767117,1.751632,7.287333642
9315.534852,1.769051667,7.290356346
9317.290403,1.770886,7.302402253
9319.063004,1.719638333,7.311935491
9320.824305,1.65409,7.312662456
9322.82485,1.693958571,7.315364898
9324.777715,1.72687,7.325555896
9326.539472,1.692194,7.330956743
9328.280871,1.65616,7.336746463
9330.047771,1.669556,7.344716773
9331.812599,1.716771667,7.348332073
9333.790716,1.668908571,7.355051244
9335.774698,1.723162,7.364112807
9337.542301,1.684681667,7.366478266
9339.29809,1.68272,7.368926615
9341.067474,1.690863333,7.377865418
9342.845076,1.699652,7.38392241
9344.816047,1.70394,7.390005934
9346.77618,1.719441667,7.397285581
9348.527715,1.73806,7.402016147
9350.29501,1.704525,7.412745804
9352.049761,1.74334,7.41471575
9353.809108,1.742668333,7.42373019
9355.792593,1.752842857,7.431113792
9357.77618,1.72775,7.44201359
9359.539337,1.719353333,7.445895839
9361.30101,1.633024,7.451945488
9363.070031,1.641548333,7.453392537
9364.832274,1.654421667,7.459779791
9366.598171,1.734208,7.466944859
9368.591923,1.706954286,7.473314178
9370.583519,1.82012,7.483658481
9372.358571,1.799926667,7.486941155
9374.105779,1.661926,7.49397824
9375.869292,1.698315,7.502462088
9377.638157,1.736076,7.502207143
9379.401885,1.72518,7.508319716
9381.385673,1.776267143,7.528094937
9383.361409,1.82085,7.528511769
9385.125233,1.845656667,7.530290022
9386.885555,1.847344,7.546274695
9388.635555,1.85439,7.545159321
9390.4014,1.840394,7.55830104
9392.382758,1.8149,7.555133558
9394.36993,1.747278333,7.558963837
9396.124355,1.74819,7.567841565
9397.875597,1.767456667,7.568306811
9399.66608,1.762572,7.578032004
9401.422528,1.757901667,7.580600284
9403.183831,1.751272,7.587304443
9405.184569,1.707154286,7.594431749
9407.148157,1.730765,7.595786586
9408.913211,1.71217,7.602101846
9410.679743,1.69515,7.609742496
9412.450421,1.717441667,7.616510004
9414.216292,1.757432,7.621499511
9416.197773,1.80455,7.625896347
9418.190099,1.781426,7.63821376
9419.962552,1.75581,7.640112584
9421.71368,1.759798333,7.64235558
9423.476519,1.755758,7.649848981
9425.242652,1.77781,7.654717063
9427.010252,1.767924,7.659183673
9428.98623,1.78961,7.66424027
9430.97693,1.813636667,7.671022303
9432.74493,1.83416,7.673583667
9434.502034,1.772005,7.682854201
9436.266959,1.703714,7.68463182
9438.020216,1.713106667,7.697113226
9440.004672,1.69882,7.702168127
9441.981905,1.728688333,7.703306008
9443.749948,1.702588,7.709549687
9445.506968,1.737406667,7.713627122
9447.262653,1.771538,7.718354364
9449.033989,1.760726667,7.71875577
9451.019831,1.753001429,7.72715254
9453.024148,1.738102,7.730586397
9454.776599,1.751486667,7.735192434
9456.541805,1.752734,7.747748869
9458.307425,1.759863333,7.749519903
9460.069865,1.74999,7.749061176
9461.814126,1.773578333,7.755762909
9463.788513,1.766775714,7.76601276
9465.767516,1.754982,7.761744693
9467.538876,1.743295,7.772663284
9469.316525,1.760356,7.764573024
9471.065246,1.759501667,7.778116094
9472.823055,1.757741667,7.790270014
9474.798242,1.73148,7.794153119
9476.760555,1.79468,7.791397521
9478.510555,1.77529,7.810914462
9480.244568,1.721361667,7.817621574
9482.00922,1.734106667,7.830118465
9483.979308,1.713692857,7.831224139
9485.959989,1.768518,7.85942285
9487.71368,1.800548333,7.868549497
9489.468138,1.81175,7.875134803
9491.223198,1.808954,7.886165233
9492.978055,1.771768333,7.900628028
9494.961261,1.75783,7.904047839
9496.916805,1.752296667,7.90720014
9498.67475,1.769798,7.909893888
9500.428452,1.769734,7.918242538
9502.188643,1.763325,7.926062512
9503.919165,1.747252,7.930526419
9505.896694,1.746801429,7.929856544
9507.884378,1.780585,7.939008488
9509.65118,1.737654,7.941498265
9511.373511,1.755141667,7.94885937
9513.158989,1.735652,7.952348854
9514.924618,1.722238333,7.962205819
9516.9083,1.763252857,7.961450629
9518.86993,1.761672,7.963644869
9520.623001,1.774234,7.964631781
9522.385555,1.835021667,7.969235478
9524.135555,1.73705,7.976653415
9525.884509,1.760451667,7.984937159
9527.87785,1.822054286,7.998197234
9529.868948,1.820606,7.996372437
9531.639995,1.800306667,8.001561496
9533.393503,1.780658,8.004057366
9535.161224,1.792516,8.007476379
9536.907007,1.769678333,8.017987902
9538.90832,1.82168,8.01570354
9540.883876,1.80285,8.02560244
